Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB
Elehuris Montero,Colorado Rockies,Tampa Bay Rays,1,4,0,1,0,0,0,4,0.286,0.167,0.452,-0.056,0.76,-0.02,0.55,-1.0,1,1,0,0,0,1
Brenton Doyle,Colorado Rockies,Tampa Bay Rays,1,4,0,0,0,0,3,4,0.267,0.357,0.624,-0.079,0.7,-0.03,0.51,-1.3,0,0,0,0,0,0
Gunnar Henderson,Baltimore Orioles,Pittsburgh Pirates,0,5,2,2,1,0,1,5,0.333,0.577,0.91,0.097,0.75,0.05,0.7,0.7,5,0,0,0,2,5
Adley Rutschman,Baltimore Orioles,Pittsburgh Pirates,0,5,0,2,1,0,2,5,0.433,0.423,0.856,0.082,0.77,0.04,0.72,0.5,3,2,0,0,0,2
Anthony Santander,Baltimore Orioles,Pittsburgh Pirates,0,5,0,2,1,0,1,5,0.233,0.517,0.751,0.05,0.59,0.03,0.55,1.1,3,0,2,0,0,3
Ryan Mountcastle,Baltimore Orioles,Pittsburgh Pirates,0,5,0,1,0,0,2,5,0.355,0.52,0.875,-0.002,0.61,-0.0,0.57,-0.8,1,-2,3,0,0,2
Ryan O'Hearn,Baltimore Orioles,Pittsburgh Pirates,0,4,1,2,1,0,0,4,0.353,0.688,1.04,0.108,0.87,0.06,0.81,0.9,4,0,0,1,1,7
Cedric Mullins,Baltimore Orioles,Pittsburgh Pirates,0,4,1,1,1,0,1,4,0.217,0.5,0.717,-0.023,0.81,-0.01,0.76,-0.0,3,-1,0,0,2,4
Jordan Westburg,Baltimore Orioles,Pittsburgh Pirates,0,3,0,0,0,0,0,4,0.25,0.364,0.614,-0.084,0.8,-0.05,0.74,-1.0,0,0,0,0,0,0
Colton Cowser,Baltimore Orioles,Pittsburgh Pirates,0,2,0,1,0,0,1,2,0.5,0.7,1.2,-0.007,0.94,-0.0,0.88,-0.1,1,1,0,0,0,1
Austin Hays,Baltimore Orioles,Pittsburgh Pirates,0,2,0,0,0,0,1,2,0.217,0.1,0.317,-0.031,0.6,-0.02,0.56,-0.4,0,0,0,0,0,0
Ramón Urías,Baltimore Orioles,Pittsburgh Pirates,0,4,1,1,0,0,1,4,0.111,0.059,0.17,-0.042,0.81,-0.02,0.76,-0.6,2,1,0,0,0,1
Oneil Cruz,Pittsburgh Pirates,Baltimore Orioles,1,4,1,3,1,0,1,4,0.382,0.531,0.914,0.174,0.97,0.11,1.02,1.6,5,1,0,0,2,6
Bryan Reynolds,Pittsburgh Pirates,Baltimore Orioles,1,4,0,0,0,0,0,4,0.405,0.486,0.89,-0.083,1.19,-0.05,1.25,-0.7,0,0,0,0,0,0
Ke'Bryan Hayes,Pittsburgh Pirates,Baltimore Orioles,1,3,0,2,0,1,1,4,0.429,0.412,0.84,0.066,1.09,0.04,1.14,0.6,2,2,0,0,0,0
Jack Suwinski,Pittsburgh Pirates,Baltimore Orioles,1,4,0,0,0,0,2,4,0.233,0.308,0.541,-0.172,1.48,-0.11,1.55,-1.6,0,0,0,0,0,0
Andrew McCutchen,Pittsburgh Pirates,Baltimore Orioles,1,4,0,0,0,0,2,4,0.32,0.2,0.52,-0.148,1.39,-0.09,1.46,-1.3,0,0,0,0,0,0
Rowdy Tellez,Pittsburgh Pirates,Baltimore Orioles,1,4,0,0,0,0,2,4,0.364,0.389,0.753,-0.109,1.06,-0.07,1.11,-0.9,0,0,0,0,0,0
Henry Davis,Pittsburgh Pirates,Baltimore Orioles,1,4,0,0,0,0,3,4,0.265,0.214,0.479,-0.072,0.7,-0.04,0.73,-0.6,0,0,0,0,0,0
Jared Triolo,Pittsburgh Pirates,Baltimore Orioles,1,3,1,1,1,1,0,4,0.364,0.393,0.756,0.089,0.57,0.06,0.59,0.9,3,0,0,0,1,4
Michael A. Taylor,Pittsburgh Pirates,Baltimore Orioles,1,3,0,0,0,0,1,3,0.438,0.536,0.973,-0.098,1.24,-0.06,1.3,-0.7,0,0,0,0,0,0
Xander Bogaerts,San Diego Padres,San Francisco Giants,0,4,1,1,0,0,0,4,0.349,0.308,0.657,0.08,1.04,0.05,1.0,0.9,2,0,1,0,0,2
Fernando Tatis Jr.,San Diego Padres,San Francisco Giants,0,4,0,1,1,0,1,4,0.366,0.568,0.933,0.011,1.58,0.01,1.51,0.4,2,1,0,0,0,0
Jake Cronenworth,San Diego Padres,San Francisco Giants,0,4,0,2,1,0,0,4,0.349,0.436,0.785,0.047,1.7,0.03,1.62,-0.3,3,2,0,0,0,2
Manny Machado,San Diego Padres,San Francisco Giants,0,3,0,0,0,1,0,4,0.295,0.395,0.69,-0.085,1.69,-0.05,1.61,-0.8,0,0,0,0,0,0
Ha-Seong Kim,San Diego Padres,San Francisco Giants,0,4,0,0,0,0,1,4,0.302,0.351,0.654,-0.174,1.84,-0.1,1.76,-1.0,0,0,0,0,0,0
Jurickson Profar,San Diego Padres,San Francisco Giants,0,4,0,1,0,0,3,4,0.405,0.4,0.805,-0.101,1.58,-0.06,1.52,-0.5,1,-3,4,0,0,2
Luis Campusano,San Diego Padres,San Francisco Giants,0,3,0,0,0,0,0,3,0.364,0.545,0.909,-0.097,1.18,-0.06,1.13,-0.7,0,0,0,0,0,0
Graham Pauley,San Diego Padres,San Francisco Giants,0,3,0,0,0,0,2,3,0.154,0.385,0.538,-0.09,1.18,-0.05,1.13,-0.6,0,0,0,0,0,0
Jackson Merrill,San Diego Padres,San Francisco Giants,0,3,1,1,0,0,1,3,0.323,0.429,0.751,-0.019,0.86,-0.01,0.83,-0.0,2,1,0,0,0,1
Jung Hoo Lee,San Francisco Giants,San Diego Padres,1,3,1,0,0,1,0,4,0.297,0.323,0.62,-0.052,1.11,-0.03,0.99,-0.2,1,0,0,0,0,0
LaMonte Wade Jr.,San Francisco Giants,San Diego Padres,1,2,1,0,0,1,0,3,0.4,0.333,0.733,0.009,1.29,0.01,1.15,-0.1,1,0,0,0,0,0
Wilmer Flores,San Francisco Giants,San Diego Padres,1,1,0,0,0,0,1,1,0.4,0.353,0.753,-0.035,1.4,-0.02,1.26,-0.2,0,0,0,0,0,0
Jorge Soler,San Francisco Giants,San Diego Padres,1,4,0,0,0,0,2,4,0.343,0.517,0.86,-0.128,1.32,-0.07,1.19,-0.9,0,0,0,0,0,0
Michael Conforto,San Francisco Giants,San Diego Padres,1,4,0,3,1,0,0,4,0.455,0.839,1.293,0.157,1.79,0.08,1.61,1.4,4,-1,4,0,0,5
Matt Chapman,San Francisco Giants,San Diego Padres,1,3,1,0,1,0,1,4,0.278,0.455,0.732,0.106,1.96,0.06,1.75,0.4,2,0,0,0,0,0
Thairo Estrada,San Francisco Giants,San Diego Padres,1,4,0,1,1,0,1,4,0.156,0.29,0.447,0.239,1.93,0.13,1.73,0.2,2,0,1,0,0,2
Mike Yastrzemski,San Francisco Giants,San Diego Padres,1,2,0,0,0,0,2,2,0.154,0.0,0.154,-0.066,1.23,-0.03,1.1,-0.5,0,0,0,0,0,0
Austin Slater,San Francisco Giants,San Diego Padres,1,1,0,0,0,0,0,1,0.25,0.0,0.25,-0.039,1.51,-0.02,1.35,-0.2,0,0,0,0,0,0
Patrick Bailey,San Francisco Giants,San Diego Padres,1,3,0,1,0,0,1,3,0.429,0.526,0.955,-0.05,0.98,-0.03,0.88,-0.3,1,1,0,0,0,1
Nick Ahmed,San Francisco Giants,San Diego Padres,1,3,0,0,0,0,0,3,0.24,0.25,0.49,-0.069,0.87,-0.04,0.78,-0.5,0,0,0,0,0,0
Francisco Lindor,New York Mets,Cincinnati Reds,0,2,0,0,1,1,0,5,0.212,0.038,0.251,0.083,1.76,0.04,1.39,0.3,1,0,0,0,0,0
Pete Alonso,New York Mets,Cincinnati Reds,0,5,0,0,1,0,1,5,0.29,0.448,0.739,0.023,1.64,0.01,1.29,-0.1,1,0,0,0,0,0
Francisco Alvarez,New York Mets,Cincinnati Reds,0,4,0,0,0,0,3,4,0.36,0.583,0.943,-0.172,1.54,-0.08,1.22,-1.6,0,0,0,0,0,0
Brett Baty,New York Mets,Cincinnati Reds,0,4,0,2,0,0,0,4,0.36,0.409,0.769,-0.029,1.43,-0.01,1.12,-0.3,2,2,0,0,0,2
Starling Marte,New York Mets,Cincinnati Reds,0,4,0,0,0,0,2,4,0.25,0.346,0.596,-0.14,1.28,-0.07,1.01,-1.3,0,0,0,0,0,0
Tyrone Taylor,New York Mets,Cincinnati Reds,0,3,1,0,0,1,0,4,0.3,0.176,0.476,-0.03,1.05,-0.01,0.83,-0.3,1,0,0,0,0,0
Jeff McNeil,New York Mets,Cincinnati Reds,0,4,1,1,1,0,1,4,0.19,0.263,0.454,0.032,1.2,0.01,0.94,0.2,3,0,0,0,1,4
Harrison Bader,New York Mets,Cincinnati Reds,0,3,1,1,0,1,2,4,0.263,0.222,0.485,0.104,1.12,0.05,0.88,0.6,2,1,0,0,0,1
DJ Stewart,New York Mets,Cincinnati Reds,0,1,0,0,0,2,1,4,0.375,0.0,0.375,0.094,1.55,0.04,1.22,1.0,0,0,0,0,0,0
Jonathan India,Cincinnati Reds,New York Mets,1,5,1,3,0,0,0,5,0.424,0.407,0.832,0.237,1.43,0.14,1.39,1.4,4,3,0,0,0,3
Spencer Steer,Cincinnati Reds,New York Mets,1,3,1,1,1,2,1,5,0.5,0.808,1.308,0.136,2.09,0.08,2.02,1.0,3,-1,0,0,2,4
Christian Encarnacion-Strand,Cincinnati Reds,New York Mets,1,5,0,0,0,0,1,5,0.161,0.323,0.484,-0.213,2.5,-0.12,2.42,-1.6,0,0,0,0,0,0
Jeimer Candelario,Cincinnati Reds,New York Mets,1,3,0,1,1,1,1,5,0.233,0.407,0.641,-0.161,2.14,-0.09,2.07,-0.5,2,-2,3,0,0,2
Stuart Fairchild,Cincinnati Reds,New York Mets,1,3,0,0,0,0,1,3,0.333,0.273,0.606,-0.077,0.96,-0.04,0.93,-0.8,0,0,0,0,0,0
Tyler Stephenson,Cincinnati Reds,New York Mets,1,0,0,0,0,1,0,1,0.235,0.25,0.485,0.023,4.35,0.01,4.22,0.2,0,0,0,0,0,0
Jake Fraley,Cincinnati Reds,New York Mets,1,1,0,0,0,0,1,1,0.438,0.563,1.0,-0.17,6.03,-0.1,5.85,-0.4,0,0,0,0,0,0
Elly De La Cruz,Cincinnati Reds,New York Mets,1,4,0,1,0,0,2,4,0.276,0.429,0.704,-0.161,2.1,-0.09,2.03,-0.8,1,-2,3,0,0,2
Santiago Espinal,Cincinnati Reds,New York Mets,1,3,0,0,0,1,1,4,0.25,0.1,0.35,-0.049,1.33,-0.03,1.29,-0.5,0,0,0,0,0,0
Will Benson,Cincinnati Reds,New York Mets,1,3,0,0,0,1,0,4,0.31,0.5,0.81,-0.063,1.15,-0.04,1.11,-0.5,0,0,0,0,0,0
Luke Maile,Cincinnati Reds,New York Mets,1,4,0,1,0,0,1,4,0.231,0.417,0.647,-0.071,1.34,-0.04,1.3,-0.5,1,1,0,0,0,1
Kyle Schwarber,Philadelphia Phillies,Washington Nationals,0,3,1,1,2,2,2,5,0.355,0.5,0.855,0.137,0.77,0.08,0.72,2.2,4,1,0,0,0,1
Trea Turner,Philadelphia Phillies,Washington Nationals,0,5,0,1,0,0,0,5,0.29,0.25,0.54,-0.024,0.5,-0.01,0.47,-1.1,1,0,1,0,0,2
Bryce Harper,Philadelphia Phillies,Washington Nationals,0,5,0,3,1,0,2,5,0.346,0.75,1.096,0.008,0.43,0.0,0.41,0.1,4,1,2,0,0,5
J.T. Realmuto,Philadelphia Phillies,Washington Nationals,0,5,0,2,0,0,1,5,0.36,0.435,0.795,0.002,0.47,0.0,0.44,-0.1,2,2,0,0,0,0
Alec Bohm,Philadelphia Phillies,Washington Nationals,0,3,1,1,0,2,1,5,0.333,0.292,0.625,0.007,0.37,0.0,0.35,0.3,2,1,0,0,0,1
Bryson Stott,Philadelphia Phillies,Washington Nationals,0,3,1,1,0,2,0,5,0.407,0.286,0.693,0.021,0.65,0.01,0.61,-0.8,2,1,0,0,0,1
Nick Castellanos,Philadelphia Phillies,Washington Nationals,0,4,1,0,0,1,1,5,0.276,0.125,0.401,0.072,0.69,0.04,0.65,0.0,1,0,0,0,0,0
Brandon Marsh,Philadelphia Phillies,Washington Nationals,0,2,0,0,1,1,1,4,0.318,0.6,0.918,-0.06,0.92,-0.03,0.86,-0.8,1,0,0,0,0,0
Johan Rojas,Philadelphia Phillies,Washington Nationals,0,3,0,0,0,1,1,4,0.19,0.056,0.246,-0.049,0.76,-0.03,0.71,-0.5,0,0,0,0,0,0
CJ Abrams,Washington Nationals,Philadelphia Phillies,1,4,0,1,0,0,0,4,0.387,0.607,0.994,-0.074,0.72,-0.04,0.68,-0.8,1,1,0,0,0,1
Lane Thomas,Washington Nationals,Philadelphia Phillies,1,4,0,0,0,0,1,4,0.156,0.071,0.228,-0.081,0.77,-0.04,0.71,-0.9,0,0,0,0,0,0
Jesse Winker,Washington Nationals,Philadelphia Phillies,1,2,0,0,0,2,0,4,0.545,0.438,0.983,0.018,0.63,0.01,0.59,0.3,0,0,0,0,0,0
Joey Meneses,Washington Nationals,Philadelphia Phillies,1,3,0,0,0,1,1,4,0.29,0.259,0.55,-0.051,0.97,-0.03,0.91,-0.6,0,0,0,0,0,0
Joey Gallo,Washington Nationals,Philadelphia Phillies,1,2,0,0,0,2,1,4,0.346,0.429,0.775,0.029,0.82,0.02,0.77,0.1,0,0,0,0,0,0
Keibert Ruiz,Washington Nationals,Philadelphia Phillies,1,4,0,0,0,0,0,4,0.28,0.375,0.655,-0.097,1.08,-0.06,1.01,-1.2,0,0,0,0,0,0
