,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO
18,Chris Flexen,Chicago White Sox,Kansas City Royals,0, 6.1,6,3,3,2,4,1,5.91,77,54,30,8,16,9,10,51,0.062,1.13,0.02,0.74,1.1,19
19,Michael Wacha,Kansas City Royals,Chicago White Sox,1, 7 ,2,0,0,1,8,0,2.25,93,59,28,10,21,7,7,80,0.449,1.03,0.25,0.95,3.6,21
20,Bryce Miller,Seattle Mariners,Milwaukee Brewers,0, 7 ,3,0,0,1,7,0,3.00,78,53,24,11,18,7,10,77,0.371,0.92,0.18,0.73,3.6,21
21,DL Hall,Milwaukee Brewers,Seattle Mariners,1, 5.1,8,3,3,2,5,0,4.82,90,57,37,6,14,10,8,43,-0.105,0.84,-0.07,0.86,-0.4,16
22,Brandon Pfaadt,Arizona Diamondbacks,Atlanta Braves,0, 5.2,8,5,5,1,7,1,5.06,87,63,30,20,13,8,11,39,-0.032,0.62,-0.02,0.59,-2.0,17
23,Max Fried,Atlanta Braves,Arizona Diamondbacks,1, 4.1,10,8,7,1,5,1,18.00,97,66,40,5,21,13,6,17,-0.418,0.58,-0.26,0.62,-5.5,13
24,Tyler Alexander,Tampa Bay Rays,Colorado Rockies,0, 4.1,8,4,4,2,4,2,8.68,93,65,43,11,11,5,12,33,-0.219,0.86,-0.10,0.64,-2.7,13
25,Ryan Feltner,Colorado Rockies,Tampa Bay Rays,1, 6 ,2,1,1,2,10,0,3.27,92,59,23,18,18,8,2,72,0.247,0.94,0.11,0.67,2.6,18
26,Michael King,San Diego Padres,San Francisco Giants,0, 7 ,4,0,0,1,4,0,3.14,94,61,30,7,24,9,12,72,0.270,0.63,0.15,0.57,3.6,21
27,Keaton Winn,San Francisco Giants,San Diego Padres,1, 6 ,3,4,4,3,1,1,5.73,80,55,37,4,14,11,7,48,-0.207,0.59,-0.12,0.57,-0.9,18
28,Garrett Whitlock,Boston Red Sox,Los Angeles Angels,0, 4.1,4,0,0,4,4,0,0.96,101,64,40,5,19,5,7,55,0.173,1.22,0.11,1.35,1.7,13
29,Reid Detmers,Los Angeles Angels,Boston Red Sox,1, 6 ,3,1,1,1,12,0,1.64,94,65,33,19,13,2,6,73,0.207,0.95,0.13,0.97,2.2,18
