,Unnamed: 0,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
3,3,R.Grichuk o0.5 Runs Scored,Thespinzone,-108,0.1,0.1925925925925926,Colorado Rockies,R.Grichuk,Miami Marlins,1.0,0.0925925925925925,Y,0.5263157894736842,1,0.6,1,0.5,0
4,4,J.Soler o0.5 HR,Thespinzone,220,0.09,0.288,Miami Marlins,J.Soler,Colorado Rockies,0.0,0.1979999999999999,Y,0.2040816326530612,0,0.6,1,0.5,0
5,5,N.Fortes o1.5 Total Bases,charliedisturco,110,0.5,1.05,Miami Marlins,N.Fortes,Colorado Rockies,0.0,0.55,N,0.0909090909090909,0,0.4,0,0.2,0
6,6,N.Fortes o0.5 HR,charliedisturco,750,0.1,0.8500000000000001,Miami Marlins,N.Fortes,Colorado Rockies,0.0,0.7500000000000001,N,0.0606060606060606,0,0.2,0,0.1,0
7,7,B.Garrett o4.5 Ks,PropBetGuy,139,1.0,2.39,Miami Marlins,B.Garrett,Colorado Rockies,0.0,1.39,N,0.5,0,0.6,1,0.5,0
8,8,J.Lowe o0.5 RBI,Thespinzone,200,0.15,0.4499999999999999,Tampa Bay Rays,J.Lowe,Toronto Blue Jays,1.0,0.2999999999999999,Y,0.4878048780487805,0,0.4,0,0.4,0
9,9,Z.Eflin u5.5 Ks,The_Oddsmaker,-128,1.0,1.78125,Tampa Bay Rays,Z.Eflin,Toronto Blue Jays,1.0,0.78125,Y,0.5555555555555556,1,0.4,0,0.5555555555555556,1
10,10,C.Abrams o0.5 RBI,Thespinzone,250,0.08,0.28,Washington Nationals,C.Abrams,San Diego Padres,1.0,0.2,N,0.2765957446808511,0,0.4,0,0.4,0
11,11,L.Thomas o0.5 Runs Scored,Thespinzone,120,0.09,0.198,Washington Nationals,L.Thomas,San Diego Padres,1.0,0.108,Y,0.5416666666666666,1,0.8,1,0.8,1
12,12,R.Adams o0.5 HR,Thespinzone,700,0.04,0.32,Washington Nationals,R.Adams,San Diego Padres,1.0,0.28,N,0.2222222222222222,0,0.4,0,0.2222222222222222,0
13,13,B.Snell u5.5 Ks,PropBetGuy,118,1.0,2.18,San Diego Padres,B.Snell,Washington Nationals,0.0,1.1800000000000002,N,0.6,1,0.4,0,0.6,1
14,14,A.Frazier o0.5 Runs Scored,Thespinzone,120,0.09,0.198,Baltimore Orioles,A.Frazier,New York Yankees,0.0,0.108,Y,0.4081632653061224,0,0.8,1,0.7,1
15,15,A.Rizzo o0.5 HR,charliedisturco,540,0.1,0.6400000000000001,New York Yankees,A.Rizzo,Baltimore Orioles,1.0,0.5400000000000001,N,0.16,0,0.2,0,0.2,0
