,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
15,Z.Gallen u2.5 BB,SBK5065,-200,1.0,Z.Gallen,1.5,0.5,Arizona Diamondbacks,Boston Red Sox,0.0,0.7619047619047619,1,0.8,1,0.7,1,N
16,J.Turner o0.5 hits+runs+rbi,Rotowire,100,0.75,J.Turner,1.5,0.75,Seattle Mariners,San Francisco Giants,1.0,0.6666666666666666,1,0.8,1,0.7,1,Y
17,R.Suarez o3.5 strikeouts,Rotowire,100,0.75,R.Suarez,1.5,0.75,Philadelphia Phillies,Kansas City Royals,0.0,0.85,1,0.8,1,0.8,1,Y
18,J.Woodford u15.5 Outs,SBK5065,-175,1.0,J.Woodford,1.5714285714285714,0.5714285714285714,Pittsburgh Pirates,Cincinnati Reds,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,Y
19,S.Gray u2.5 Earned Runs,JBBets1,-130,1.0,S.Gray,1.7692307692307692,0.7692307692307692,St Louis Cardinals,Minnesota Twins,0.0,0.5652173913043478,1,0.6,1,0.4,0,N
20,V.Scott o0.5 hits+runs+rbi,Rotowire,100,0.75,V.Scott,1.5,0.75,St Louis Cardinals,Minnesota Twins,0.0,0.5,0,0.6,1,0.6,1,Y
21,S.Gray o6.5 strikeouts,Rotowire Prizepicks,100,1.5,S.Gray,3.0,1.5,St Louis Cardinals,Minnesota Twins,0.0,0.4782608695652174,0,0.6,1,0.5,0,Y
22,D.Peterson o3.5 strikeouts,Rotowire,100,0.75,D.Peterson,1.5,0.75,New York Mets,San Diego Padres,0.0,0.7142857142857143,1,1.0,1,0.9,1,N
23,S.Torkelson o1.5 hits+runs+rbi,Rotowire,100,0.75,S.Torkelson,1.5,0.75,Detroit Tigers,Chicago White Sox,0.0,0.4,0,0.4,0,0.3,0,Y
24,P.Pages o0.5 hits+runs+rbi,Rotowire,100,0.75,P.Pages,1.5,0.75,St Louis Cardinals,Minnesota Twins,0.0,0.6744186046511628,1,0.8,1,0.7,1,N
25,V.Scott u0.5 Hits,PropBetGuy,116,1.0,V.Scott,2.16,1.16,St Louis Cardinals,Minnesota Twins,0.0,0.65625,1,0.6,1,0.5,0,N
26,J.Winker o0.5 hits+runs+rbi,Rotowire,100,0.75,J.Winker,1.5,0.75,New York Mets,San Diego Padres,0.0,0.6842105263157895,1,0.6,1,0.7,1,N
27,D.Peterson o4.5 strikeouts,Rotowire Prizepicks,100,1.5,D.Peterson,3.0,1.5,New York Mets,San Diego Padres,0.0,0.5,0,0.6,1,0.6,1,N
28,L.Arraez o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,L.Arraez,3.0,1.5,San Diego Padres,New York Mets,1.0,0.625,1,0.6,1,0.6,1,N
29,T.Bradley o5.5 strikeouts,Rotowire Prizepicks,100,1.5,T.Bradley,3.0,1.5,Tampa Bay Rays,Los Angeles Dodgers,0.0,0.6666666666666666,1,0.6,1,0.6,1,N
30,D.Peterson o4.5 strikeouts,Rotowire,100,0.75,D.Peterson,1.5,0.75,New York Mets,San Diego Padres,0.0,0.5,0,0.6,1,0.6,1,N
